"row_hash","residence_fuel_type_name","year","month","price","price_units","price_description","locatable_id","locatable_type"
"000302be6583e332537ec433c82398ae","electricity","1993","11","0.10801","dollars","dollars_per_kilowatt_hour","RI","State"
"0004e188b4a32ece8c786e9b29f65b06","fuel oil","2004","2","0.153748","gallons","dollars_per_litre","3","PetroleumAdministrationForDefenseDistrict"
"00079a60fe46e30a6b3ef2ff636834f8","electricity","2003","4","0.0646356","dollars","dollars_per_kilowatt_hour","ND","State"
"000a2405d0c3e4872f4547679f57ee2e","electricity","1996","9","0.0844577","dollars","dollars_per_kilowatt_hour","NC","State"
"000d356909765f5e665f2d9b47751a4d","fuel oil","2010","2","0.426374","gallons","dollars_per_litre","Texas","State"
"000e22503e1328122ad9dff9aa9084d5","electricity","2006","11","0.114063","dollars","dollars_per_kilowatt_hour","FL","State"
"000f6713012148f159db7bdc468a8d39","fuel oil","1995","10","0.111745","gallons","dollars_per_litre","Illinois","State"
"000fa6b7146e30ca25705a606a61e930","electricity","2004","11","0.0810765","dollars","dollars_per_kilowatt_hour","MS","State"
"000fcc1ac065d1c60a31565505191a42","electricity","2008","11","0.119795","dollars","dollars_per_kilowatt_hour","FL","State"
"001035e4914beaebbc4642a153f1bf5b","fuel oil","1991","3","0.0887618","gallons","dollars_per_litre","Ohio","State"
"001140d27b7a85cffc7ae9a7f4c3f34f","electricity","1991","12","0.104179","dollars","dollars_per_kilowatt_hour","AK","State"
"00118cba1820314f98d9d59e6ec5cf38","fuel oil","2003","2","0.140275","gallons","dollars_per_litre","Michigan","State"
"0014455954663f88b7824194ecfd70b3","fuel oil","2000","1","0.143181","gallons","dollars_per_litre","Rhode Island","State"
"00169c7897f7c2b7aaddd006a4a70774","electricity","2003","2","0.0892524","dollars","dollars_per_kilowatt_hour","PA","State"
"001756e82abef75fa42540254c111d7f","electricity","2008","6","0.142754","dollars","dollars_per_kilowatt_hour","MD","State"
"001de54b2245d7872fa36e367661c67c","electricity","1995","4","0.0576652","dollars","dollars_per_kilowatt_hour","MT","State"
"002015fa3ed3d066d2e4d01201a85d81","electricity","1990","1","0.0944216","dollars","dollars_per_kilowatt_hour","NJ","State"
"0025dbf85cf947379e4eaa07d601792a","fuel oil","1990","9","0.117557","gallons","dollars_per_litre","Georgia","State"
"0026e8de398c021aa647233074f3d5d8","electricity","2000","4","0.0750075","dollars","dollars_per_kilowatt_hour","KS","State"
"00272e70ee549d5329d751aa34242368","electricity","2001","3","0.0688834","dollars","dollars_per_kilowatt_hour","SD","State"
"002a70b0527342c3243daa78eb38e44f","propane","2004","2","0.446715","gallons","dollars_per_litre","1B","PetroleumAdministrationForDefenseDistrict"
"002fc7c33362b5ea6b071d086638af4d","electricity","1999","10","0.0923603","dollars","dollars_per_kilowatt_hour","PA","State"
"003284ad5166a6a55d5619351e3ddcae","electricity","2006","4","0.0722331","dollars","dollars_per_kilowatt_hour","KY","State"
"0032ba43797f3b5d030d053fa3288036","electricity","2001","11","0.0962721","dollars","dollars_per_kilowatt_hour","PA","State"
"003745dc38a22c0c4d906017f082d99f","fuel oil","2009","3","0.264172","gallons","dollars_per_litre","Delaware","State"
"003a969018d15e0b32d72575f3deaabf","fuel oil","1996","3","0.10382","gallons","dollars_per_litre","2","PetroleumAdministrationForDefenseDistrict"
"003c93935aead720bcf46d757cd86c27","electricity","2005","2","0.13497","dollars","dollars_per_kilowatt_hour","NH","State"
"003d4c1fa33038320bce174dbefbbe34","electricity","1994","6","0.0770757","dollars","dollars_per_kilowatt_hour","FL","State"
"003e49bdc1b56be3ff4100aa1f79150b","fuel oil","2001","1","0.158767","gallons","dollars_per_litre","Florida","State"
"003f097d3468f5997374eb963f305286","electricity","1990","8","0.0909572","dollars","dollars_per_kilowatt_hour","HI","State"
"003f1a1cbcc2d003249571092325eac4","fuel oil","1993","8","0.087441","gallons","dollars_per_litre","Maine","State"
"003fd3317969ab40b889d642deb8bf59","electricity","1995","11","0.0659327","dollars","dollars_per_kilowatt_hour","AL","State"
"0041e312dae64ea1ef45de9b45747bc5","electricity","2005","11","0.0879905","dollars","dollars_per_kilowatt_hour","DC","State"
"004568b36e736b00899de09d211a8dae","electricity","1996","2","0.0619897","dollars","dollars_per_kilowatt_hour","MT","State"
"00473ea21b82899c24356920256e92cc","electricity","1996","9","0.119065","dollars","dollars_per_kilowatt_hour","AK","State"
